[0707/183602.355:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0709/110632.524:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/110632.529:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/110632.544:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0709/110632.556:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0712/152930.637:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0713/134835.535:ERROR:browser_gpu_channel_host_factory.cc(139)] Failed to launch GPU process.
[0715/090606.926:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0715/090611.942:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0715/090616.946:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0715/090617.366:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0715/090617.383:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
